deviceid,subscriberid,simid,devicephonenum,intro,duration,uid,uid_confirm,surveyor,supervisor,date,time,date_v,time_v,time_a,f2_a1,f2_a2,f2_a2_1,f2_a3,note_2,note_3,note_4,note_5,f2_a4,note_6,note_7,success,note_8,f2_a5,f2_a7,end_time,note_10,formdef_version,key,submissiondate,starttime,endtime,date_a,f2_a6
352347086187639,,89918570100002858301,,,63,B03V31F0916,B03V31F0916,28.0,4,24-Mar-2019,16:08:28,Yes,Yes,,Yes,Yes,,Yes,,,,,Yes,,,Yes,,,10.2,16:08:40,,1902241727,uuid:019d3517-7f6a-4e51-8b7a-bf4c9a42fc83,,,,,
359940062782432,,89911283091600875966,,,118,B03V28F0835,B03V28F0835,19.0,4,19-Mar-2019,09:23:55,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,4.0,09:39:29,,1902241727,uuid:01cb7314-1456-4401-81f3-e4303972bbd5,,,,,
359940062167519,,,,,102,B01V12F0353,B01V12F0353,14.0,1,4-Apr-2019,11:04:01,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,8.717,11:04:37,,1902241727,uuid:01ce22f9-e92e-491a-bbdd-fb2bb8ec6469,,,,,
351971071174996,,,,,124,B04V47F1347,B04V47F1347,34.0,3,17-Apr-2019,07:53:49,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,8.656,08:04:20,,1902241727,uuid:02142598-e90b-4a2e-a53f-ee57b05afcb3,,,,,
359940062775113,,,,,134,B06V70F1958,B06V70F1958,36.0,6,5-Mar-2019,13:54:24,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,26.19,14:14:12,,1902241727,uuid:021d43fa-157f-483c-85f4-662ad21c4ff3,,,,,
359940062782432,,89911283091600875966,,,270,B03V31F0915,B03V31F0915,19.0,4,18-Mar-2019,11:47:56,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,34.3,12:40:43,,1902241727,uuid:022ef74a-afec-4adb-a92a-e8edc794c53f,,,,,
351971070952178,,,,,100,B02V23F0699,B02V23F0699,25.0,5,2-Mar-2019,12:40:17,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,13.944,13:18:12,,1902241727,uuid:0259d311-3d21-4c5d-b003-07a7ed02aa2e,,,,,
359940062782432,,89911283091600875966,,,134,B01V08F0221,B01V08F0221,31.0,1,15-Apr-2019,12:09:43,Yes,Yes,,Yes,Yes,,Yes,,,,,Yes,,,Yes,,,5.5,12:26:55,,1902241727,uuid:0283b6d4-6f5c-4a4a-b75f-51e0d5443106,,,,,
359940062066059,,,,,122,B06V78F2227,B06V78F2227,27.0,6,13-Apr-2019,11:17:04,Yes,Yes,,Yes,Yes,,Yes,,,,,No,,,Yes,,,11.051,11:30:11,,1902241727,uuid:028b4ed6-42aa-4885-97be-50b4fc1b0a43,,,,,
351971071174996,,,,,145,B02V14F0420,B02V14F0420,34.0,5,6-Apr-2019,09:53:57,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,14.858,10:07:08,,1902241727,uuid:029544fb-ee8c-46e8-a0de-cb0df1b18282,,,,,
359940062782432,,89911283091600875966,,,193,B03V27F0803,B03V27F0803,19.0,4,26-Mar-2019,15:01:18,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,8.2,15:08:02,,1902241727,uuid:02e4622d-cf8f-4964-9ed3-a2feec81d61e,,,,,
359940062782432,,89911283091600875966,,,198,B03V32F0968,B03V32F0968,19.0,4,11-Mar-2019,13:50:39,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,7.3,14:08:57,,1902241727,uuid:03b59a05-aa4a-4371-ae44-ea02ce90379d,,,,,
359940062782432,,89911283091600875966,,,139,B03V35F1037,B03V35F1037,19.0,4,28-Feb-2019,14:37:00,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,6.4,14:56:57,,1902241727,uuid:03f30d59-5148-4dd6-bab9-fca836f1d542,,,,,
351971070952285,,,,,52,B01V11F0329,B01V11F0329,24.0,1,11-Mar-2019,14:08:04,Yes,Yes,,Yes,Yes,,No,,,,,,,,No,,Bijivar,,14:08:29,,1902241727,uuid:040746e2-e79c-4f87-a915-29da383deaee,,,,,
359940062066059,,,,,185,B06V80F2282,B06V80F2282,27.0,6,14-Mar-2019,14:01:32,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,28.97,14:18:34,,1902241727,uuid:042162db-2265-44c4-8c62-1009fcd32c5e,,,,,
359940062167519,,,,,99,B01V07F0173,B01V07F0173,14.0,1,24-Mar-2019,15:49:40,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,2.848,15:50:29,,1902241727,uuid:046a9241-67c4-467e-b5c4-3872473a62a3,,,,,
359940062066059,,,,,205,B06V69F1944,B06V69F1944,27.0,6,27-Feb-2019,15:46:59,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,7.671,16:15:48,,1902241727,uuid:046b753f-f800-4911-81f9-26594c9a798f,,,,,
869432027598171,,8991055171006387521f,,,404,B05V56F1559,B05V56F1559,15.0,2,11-Apr-2019,12:35:00,Yes,Yes,,Yes,Yes,,Yes,,,,,No,,,Yes,,,7.594,12:42:23,,1902241727,uuid:046f935d-5e06-4495-afea-038c0c702253,,,,,
351971070952178,,,,,148,B02V26F0795,B02V26F0795,25.0,5,28-Mar-2019,09:17:07,Yes,Yes,,Yes,Yes,,Yes,,,,,No,,,Yes,,,5.343,09:29:53,,1902241727,uuid:04939af4-29ea-4585-b853-5618cd4fe511,,,,,
869432027578835,,,,,140,B04V52F1448,B04V52F1448,11.0,3,4-Mar-2019,15:35:05,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,13.609,15:50:14,,1902241727,uuid:04b29306-1e14-452e-84d0-e84d96330939,,,,,
351971070952178,,,,,97,B02V24F0720,B02V24F0720,25.0,5,26-Feb-2019,14:23:52,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,18.679,14:42:38,,1902241727,uuid:04b5577f-b65d-477e-8b5a-8f9589edacfe,,,,,
351971070954323,,,,,180,B05V64F1791,B05V64F1791,12.0,2,27-Feb-2019,16:27:06,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,15.097,16:50:35,,1902241727,uuid:0583c6ed-a755-4ee4-bf6a-9dbf6f12bf9f,,,,,
869432027578835,,,,,299,B04V50F1413,B04V50F1413,11.0,3,19-Mar-2019,11:55:09,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,9.835,12:12:07,,1902241727,uuid:058b8afd-9a9b-4cfc-b857-e90c014ca131,,,,,
351971071174996,,,,,180,B02V15F0459,B02V15F0459,34.0,5,3-Apr-2019,10:56:48,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,18.349,11:09:34,,1902241727,uuid:0592e35f-c13d-4bd4-af30-bf71d779b27a,,,,,
359940062782432,,89911283091600875966,,,136,B03V31F0918,B03V31F0918,19.0,4,18-Mar-2019,13:26:05,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,5.0,13:35:47,,1902241727,uuid:05a10e4e-c7cc-43b2-9f10-c34a75231479,,,,,
359940062066059,,,,,89,B06V76F2158,B06V76F2158,27.0,6,9-Mar-2019,11:52:58,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,17.818,12:06:08,,1902241727,uuid:05c523e0-08e4-47c6-9964-3408fa823f95,,,,,
351971070954323,,,,,845,B05V64F1786,B05V64F1786,12.0,2,27-Feb-2019,15:26:24,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,7.667,15:38:40,,1902241727,uuid:05ca50da-1ff3-43d1-9b11-2529a3feb068,,,,,
359940062782432,,89911283091600875966,,,77,B03V39F1152,B03V39F1152,19.0,4,4-Mar-2019,12:01:48,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,5.3,12:08:39,,1902241727,uuid:05d3471a-ef9c-4c73-bab4-ecd9e09e94b4,,,,,
359940060386368,,,,,179,B06V70F1953,B06V70F1953,22.0,6,16-Mar-2019,11:48:55,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,37.558,11:49:31,,1902241727,uuid:063741ae-20b4-4bfe-9aa6-f569a84c6c61,,,,,
869432027607238,,,,,115,B04V52F1449,B04V52F1449,,3,20-Apr-2019,09:22:53,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,5.215,09:50:23,,1902241727,uuid:067219d4-b6b0-4cae-9416-e1373b425cce,,,,,
351971071174996,,,,,156,B02V26F0768,B02V26F0768,34.0,5,6-Mar-2019,17:01:12,Yes,Yes,,No,Yes,,No,,,,,,,,No,,Bijivar  aavva Janavyu,,17:03:10,,1902241727,uuid:06a845d7-a994-486c-a860-bcf28f0554f4,,,,,
359940062066059,,,,,113,B06V73F2070,B06V73F2070,27.0,6,12-Mar-2019,11:14:20,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,16.158,11:31:23,,1902241727,uuid:06a92fd6-5a4c-4015-87f2-5a62a7cd8d45,,,,,
351971070954323,,,,,711,B05V62F1734,B05V62F1734,12.0,2,7-Mar-2019,11:16:00,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,33.044,11:16:24,,1902241727,uuid:06b4db59-078c-4c70-902b-c234bd596757,,,,,
869432027607238,,,,,113,B04V46F1312,B04V46F1312,11.0,3,1-Mar-2019,12:52:03,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,3.473,13:06:34,,1902241727,uuid:06f5df5b-ec28-41b1-8903-33a103757fd2,,,,,
359940062066059,,,,,199,B06V76F2157,B06V76F2157,27.0,6,9-Mar-2019,10:59:06,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,10.723,11:31:23,,1902241727,uuid:0716aa38-34b6-485c-897f-c49055819412,,,,,
351971071174996,,,,,538,B02V21F0628,B02V21F0628,34.0,5,23-Mar-2019,12:54:37,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,13.829,13:36:29,,1902241727,uuid:072d4c7d-c651-4519-af88-7402d983f207,,,,,
869432027598171,,8991055171006387521f,,,635,B05V61F1705,B05V61F1705,15.0,2,13-Mar-2019,15:04:10,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,8.903,15:23:44,,1902241727,uuid:074e06c9-1376-43e0-ac02-a39970f67137,,,,,
359940062782432,,89911283091600875966,,,159,B03V29F0874,B03V29F0874,19.0,4,23-Mar-2019,13:00:00,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,9.2,13:00:14,,1902241727,uuid:0750b2cf-065d-4ef3-9986-02ab1c1f091c,,,,,
359940062782432,,89911283091600875966,,,286,B03V36F1066,B03V36F1066,19.0,4,13-Mar-2019,11:17:57,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,17.7,11:34:21,,1902241727,uuid:075cc7d7-1ff8-4a6c-95f7-eb6a4f7a6a4f,,,,,
359940062108828,,,,,224,B01V01F0004,B01V01F0004,30.0,5,23-Feb-2019,13:32:04,Yes,Yes,,No,Yes,,,,,,,,,,Yes,,,,13:42:18,,1902211431,uuid:0783cc89-c242-4e7f-a03a-6f2548c7216c,,,,,
351971070954323,,,,,94,B05V57F1587,B05V57F1587,12.0,2,28-Feb-2019,12:09:27,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,8.346,12:39:16,,1902241727,uuid:078ab1d8-49fc-42c0-861a-afc2f8a26b05,,,,,
359940062167519,,,,,276,B01V04F0100,B01V04F0100,14.0,1,25-Feb-2019,15:45:47,Yes,Yes,,Yes,Yes,,Yes,,,,,Yes,,,Yes,,,3.662,15:52:15,,1902241727,uuid:079bf53d-fd67-4496-8025-575b1fc3dfb0,,,,,
351971070952285,,,,,87,B01V07F0171,B01V07F0171,24.0,1,9-Apr-2019,10:58:29,Yes,Yes,,Yes,Yes,,Yes,,,,,No,,,Yes,,,8.88,11:15:59,,1902241727,uuid:07a33fdf-23d6-4de8-a4ee-14bbd4d8a0bb,,,,,
351971070952178,,,,,56,B02V14F0394,B02V14F0394,25.0,5,30-Mar-2019,12:03:44,Yes,Yes,,No,Yes,,No,,,,,,,,No,,Farmar pase Time nathi Aetle,,12:04:06,,1902241727,uuid:07a4cce9-2851-401b-ae09-9bf88b8fbf03,,,,,
352929081553715,,89918571000011971377,,,66,B03V27F0801,B03V27F0801,29.0,4,25-Feb-2019,13:28:26,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,7.3,13:28:56,,1902241727,uuid:07d097f4-858f-49f6-ac7f-48358f18f1fd,,,,,
869432027598171,,8991055171006387521f,,,134,B05V60F1663,B05V60F1663,15.0,2,1-Mar-2019,16:24:06,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,22.39,16:41:48,,1902241727,uuid:082235fa-ad6f-4a51-bc28-44baa6c84a4a,,,,,
351971070954323,,,,,174,B05V68F1916,B05V68F1916,12.0,2,5-Mar-2019,12:13:57,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,11.288,12:31:39,,1902241727,uuid:083cf3d8-ebc3-4554-8398-f3ed3761cbc4,,,,,
865596032669757,,,,,156,B01V03F0092,B01V03F0092,18.0,1,3-Apr-2019,11:38:13,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,19.021,11:44:47,,1902241727,uuid:0868837b-ba84-48c9-86b0-c08c253d490c,,,,,
351971070952178,,,,,100,B02V16F0478,B02V16F0478,25.0,5,11-Mar-2019,18:32:02,Yes,Yes,,Yes,Yes,,No,,,,,,,,No,,Farmar pase Time nathi Aetle,,18:32:44,,1902241727,uuid:08a7963e-2822-4a44-846d-e376e63c86e9,,,,,
351971071174996,,,,,136,B02V23F0701,B02V23F0701,34.0,5,14-Mar-2019,10:32:54,Yes,Yes,,Yes,Yes,,Yes,,,,,No,,,Yes,,,2.449,10:43:03,,1902241727,uuid:08a973e3-8507-41b0-b1a7-3482897f0bd2,,,,,
359940062066059,,,,,120,B06V79F2262,B06V79F2262,27.0,6,7-Mar-2019,11:02:56,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,6.681,11:03:35,,1902241727,uuid:08d886c5-c5f9-4bdc-817c-be6a81330bec,,,,,
865207032330552,,89918570500020225195,,,76,B04V53F1470,B04V53F1470,,3,26-Mar-2019,12:31:59,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,8.406,12:39:10,,1902241727,uuid:095d4785-5e55-4ce2-9340-67bbf8579c91,,,,,
351971070952285,,,,,52,B01V07F0186,B01V07F0186,24.0,1,28-Mar-2019,20:03:45,Yes,Yes,,Yes,Yes,,No,,,,,,,,No,,Bijivar,,20:04:09,,1902241727,uuid:096616df-192b-435f-b501-cf81df4c1a05,,,,,
359940062775113,,,,,105,B06V74F2097,B06V74F2097,36.0,6,5-Apr-2019,11:09:38,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,2.012,11:20:32,,1902241727,uuid:0979739d-5e3d-4955-b226-18453b8a4d7c,,,,,
351971070952285,,,,,196,B01V12F0351,B01V12F0351,24.0,1,12-Mar-2019,12:41:18,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,5.76,12:42:30,,1902241727,uuid:0982d3d2-eba6-4dca-8a6d-dd42bd8671ac,,,,,
869432027607238,,,,,103,B04V51F1424,B04V51F1424,34.0,3,16-Apr-2019,08:38:17,Yes,Yes,,Yes,Yes,,Yes,,,,,Yes,,,Yes,,,3.115,09:07:00,,1902241727,uuid:0a077da5-c8c7-45bc-b8f3-467ab1143106,,,,,
359940062775113,,,,,198,B06V71F2010,B06V71F2010,36.0,6,6-Mar-2019,13:40:42,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,18.056,13:56:38,,1902241727,uuid:0a76ad17-b7bf-4c87-a760-b669dd723cd7,,,,,
351971070954323,,,,,211,B05V63F1773,B05V63F1773,12.0,2,26-Feb-2019,12:17:53,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,5.371,12:30:31,,1902241727,uuid:0a8352b9-de3b-4295-a3a6-22972b84e10e,,,,,
359940062066059,,,,,181,B06V79F2245,B06V79F2245,27.0,6,6-Mar-2019,15:50:41,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,14.543,16:03:43,,1902241727,uuid:0a90b0dc-825a-4b6c-b4a9-1abcf88f8471,,,,,
359940062782432,,89911283091600875966,,,82,B03V30F0904,B03V30F0904,19.0,4,6-Mar-2019,12:53:18,Yes,Yes,,No,Yes,,No,,,,,,,,No,,Bijivar avo tYre,,12:53:56,,1902241727,uuid:0ac88e89-f22c-4b51-9740-5fcd887f7978,,,,,
865207032330552,,89918570500020225195,,,158,B04V48F1369,B04V48F1369,,3,3-Apr-2019,10:27:50,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,7.841,10:36:49,,1902241727,uuid:0b2ec90c-c7e2-48cf-ab6a-0aa3963598a4,,,,,
351971071174996,,,,,149,B02V23F0701,B02V23F0701,34.0,5,2-Mar-2019,13:55:36,Yes,Yes,,No,Yes,,No,,,,,,,,No,,Bahargam javanu hovathi,,13:57:14,,1902241727,uuid:0b6401b6-0685-4e26-b5a2-befd74811cb2,,,,,
359940062167519,,,,,195,B01V02F0041,B01V02F0041,14.0,1,7-Mar-2019,11:58:44,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,11.404,12:19:07,,1902241727,uuid:0b8ffcf3-fd01-4572-bf3c-0cdc99366fc7,,,,,
351971070952178,,,,,112,B02V20F0593,B02V20F0593,25.0,5,27-Feb-2019,11:43:57,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,3.746,11:55:37,,1902241727,uuid:0babca63-8085-4d42-bfce-527a0e584016,,,,,
351971070952178,,,,,89,B02V18F0538,B02V18F0538,25.0,5,8-Mar-2019,14:41:29,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,9.954,14:51:50,,1902241727,uuid:0bb26186-e563-4b5e-bf6e-c0be935c6c8b,,,,,
869432027598171,,8991055171006387521f,,,90,B05V59F1628,B05V59F1628,15.0,2,17-Apr-2019,09:18:15,Yes,Yes,,Yes,Yes,,Yes,,,,,No,,,Yes,,,6.01,09:18:52,,1902241727,uuid:0be7c420-e9c0-494c-a3aa-4b4ef6c20f18,,,,,
351971070958266,,8991000901222570146,,,151,B04V50F1401,B04V50F1401,20.0,3,10-Apr-2019,12:38:51,Yes,Yes,,Yes,Yes,,Yes,,,,,Yes,,,Yes,,,4.183,13:10:07,,1902241727,uuid:0bf35eb8-94e9-480f-a0c8-44931dbcc07c,,,,,
865596032669757,,,,,139,B01V03F0083,B01V03F0083,18.0,1,4-Apr-2019,16:51:36,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,18.18,16:52:54,,1902241727,uuid:0c0a5465-0b1b-4290-8b60-51af75e8e2fc,,,,,
351971070958266,,8991000901222570146,,,96,B04V49F1392,B04V49F1392,20.0,3,6-Apr-2019,11:07:56,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,No,,Revisit,,11:08:39,,1902241727,uuid:0c119eff-ec0a-44ff-b3e1-4deea96e628b,,,,,
359940062782432,,89911283091600875966,,,227,B03V29F0859,B03V29F0859,19.0,4,26-Feb-2019,12:44:15,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,12.6,13:04:04,,1902241727,uuid:0c1908af-620b-4da9-9e03-c47afecb88e7,,,,,
351971070954323,,,,,104,B05V59F1641,B05V59F1641,12.0,2,12-Mar-2019,16:11:24,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,16.201,16:28:06,,1902241727,uuid:0c4470d2-75d8-45ad-8a5d-4fa2933609de,,,,,
351971070952285,,,,,143,B01V01F0025,B01V01F0025,24.0,1,7-Mar-2019,14:52:27,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,2.949,14:53:27,,1902241727,uuid:0c6236b0-9404-4f13-a5d9-d103e1e142e4,,,,,
359940062782432,,89911283091600875966,,,173,B03V34F0993,B03V34F0993,19.0,4,5-Mar-2019,13:17:41,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,3.6,13:32:47,,1902241727,uuid:0c6f89cb-edb6-4d36-b38a-5e97f171556b,,,,,
869432027607238,,,,,90,B04V43F1239,B04V43F1239,34.0,3,16-Apr-2019,10:37:00,Yes,Yes,,Yes,Yes,,Yes,,,,,No,,,Yes,,,2.977,10:44:57,,1902241727,uuid:0c8905d0-9fd6-4c34-863c-47c13ddc732e,,,,,
351753104177752,,8991058121089494824,,,1431,B02V25F0763,B02v25f0763,,5,5-Mar-2019,11:17:11,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,91.487,11:44:05,,1902241727,uuid:0c9c8038-7dfc-4145-ace3-10bbc6236ad9,,,,,
869432027578835,,,,,201,B04V53F1468,B04V53F1468,11.0,3,18-Mar-2019,10:48:58,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,6.069,11:04:07,,1902241727,uuid:0cbd0657-b428-4680-b659-0c7486ff90d6,,,,,
351971070952285,,,,,47,B01V08F0232,B01V08F0232,24.0,1,29-Mar-2019,20:12:06,Yes,Yes,,Yes,Yes,,No,,,,,,,,No,,Bijivar,,20:12:26,,1902241727,uuid:0cc10ea4-b852-44e1-accb-90bfbb07d115,,,,,
351971070952285,,,,,62,B01V02F0042,B01V02F0042,24.0,1,19-Apr-2019,12:29:44,Yes,Yes,,Yes,Yes,,No,,,,,,,,No,,Nhi aapvi mahiti,,12:30:19,,1902241727,uuid:0cd2eaa2-675f-4755-bb4c-26c60735e03a,,,,,
359940062066059,,,,,110,B06V72F2042,B06V72F2042,27.0,6,16-Apr-2019,11:16:38,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,9.424,11:27:03,,1902241727,uuid:0cf8a998-7e71-4c08-a6fd-08f8c39331ab,,,,,
352347086187639,,89918570100002858301,,,134,B03V34F1009,B03V34F1009,13.0,4,14-Mar-2019,12:36:22,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,7.4,12:37:03,,1902241727,uuid:0d052dd5-c548-45c4-885c-c104aa817bff,,,,,
351971070958720,,,,,202,B06V71F2013,B06V71F2013,17.0,6,6-Mar-2019,11:26:13,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,9.605,11:41:35,,1902241727,uuid:0d1f4aa7-d8c2-48d0-81d1-e2ab0e17d299,,,,,
359940062108828,,,,,158,B02V15F0460,B02v15f0460,30.0,5,16-Apr-2019,09:15:31,Yes,Yes,,Yes,Yes,,Yes,,,,,No,,,Yes,,,13.337,09:47:08,,1902241727,uuid:0d28a213-afff-4c55-a86b-f3c42f9d4228,,,,,
865207032330552,,89918570500020225195,,,76,B04V54F1495,B04V54F1495,,3,30-Mar-2019,09:37:42,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,4.504,09:53:18,,1902241727,uuid:0d548308-505a-4092-b819-56c6ba5434c7,,,,,
869432027598171,,8991055171006387521f,,,325,B05V61F1690,B05V61F1690,15.0,2,4-Mar-2019,17:15:04,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,7.797,17:28:38,,1902241727,uuid:0d79f0b9-5761-408f-9790-1d72ca069b9d,,,,,
865207032330552,,89918570500020225195,,,100,B04V53F1474,B04V53F1474,,3,26-Mar-2019,11:38:38,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,12.254,11:50:27,,1902241727,uuid:0d8bb703-25c7-4cfa-bc6f-017a56dd6169,,,,,
351971070949968,,,,,243,B03V31F0932,B03V31F0932,,4,30-Mar-2019,09:32:05,Yes,Yes,,Yes,Yes,,Yes,,,,,Yes,,,Yes,,,5.1,09:32:37,,1902241727,uuid:0da4172d-a6c5-4b71-9d92-cd259392dff3,,,,,
869432027578835,,,,,194,B04V52F1442,B04V52F1442,11.0,3,27-Mar-2019,11:23:17,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,8.103,11:32:32,,1902241727,uuid:0db3970e-7ca6-4328-98b8-fb8dcd80720e,,,,,
865596032669757,,,,,132,B01V11F0309,B01V11F0309,18.0,1,11-Mar-2019,12:45:30,Yes,Yes,,No,Yes,,No,,,,,,,,No,,Fari var mulakat,,12:46:29,,1902241727,uuid:0e5302fa-8eef-486a-a49e-b2698c6aaad9,,,,,
