uid,consent,SII_1,SII_1_other,SII_1_reason,Date,Sow_date,SII_3_1,SII_3_2,SII_4_1,SII_4_2,SII_5,SII_6_1_UREA,SII_6_2_UREA,SII_6_3_UREA,SII_6_4_UREA,SII_7_1_UREA,SII_7_2_UREA,SII_7_3_UREA,SII_6_1_DAP,SII_6_2_DAP,SII_6_3_DAP,SII_6_4_DAP,SII_7_1_DAP,SII_7_2_DAP,SII_7_3_DAP,SII_6_1_MOP,SII_6_2_MOP,SII_6_3_MOP,SII_6_4_MOP,SII_7_1_MOP,SII_7_2_MOP,SII_7_3_MOP,SII_6_1_ZINC,SII_6_2_ZINC,SII_6_3_ZINC,SII_6_4_ZINC,SII_7_1_ZINC,SII_7_2_ZINC,SII_7_3_ZINC,SII_6_1_NPK_202020,SII_6_2_NPK_202020,SII_6_3_NPK_202020,SII_6_4_NPK_202020,SII_7_1_NPK_202020,SII_7_2_NPK_202020,SII_7_3_NPK_202020,SII_6_1_NPK_20200,SII_6_2_NPK_20200,SII_6_3_NPK_20200,SII_6_4_NPK_20200,SII_7_1_NPK_20200,SII_7_2_NPK_20200,SII_7_3_NPK_20200,SII_6_1_NPK_123216,SII_6_2_NPK_123216,SII_6_3_NPK_123216,SII_6_4_NPK_123216,SII_7_1_NPK_123216,SII_7_2_NPK_123216,SII_7_3_NPK_123216,FKT_1,FKT_2,FKT_3
B01V01F0015,Yes,Sowing,,,2018-08-18,2018-07-19,6.0,Bigha,1,Underground water,1,No,,,,,,,Yes,3,Bag,50 Kilogram,No,6,Bigha,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V01F0016,Yes,Sowing,,,2018-08-10,2018-07-11,10.5,Bigha,0,,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,No,,
B01V01F0017,Yes,Sowing,,,2018-08-20,2018-07-21,10.0,Bigha,1,Underground water,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V01F0018,Yes,Sowing,,,2018-08-08,2018-07-09,7.5,Bigha,1,Rainfall,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,BAPORE MAHITI NA MOKLE TO SARU SWARE ATHAVA SANJE MOKLO
B01V01F0019,Yes,Sowing,,,2018-08-18,2018-07-04,8.0,Bigha,1,Dam,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,Yes,1,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,KHATAR NI MAHITI HAVE BHU NA MOKALO SAMBHADINE THAKI GAYA HVE..
B01V01F0020,Yes,Sowing,,,2018-08-10,2018-06-11,4.0,Bigha,1,Underground water,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Useful,
B01V01F0023,Yes,Sowing,,,2018-08-17,2018-07-23,2.0,Acre,1,Underground water,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Not useful,
B01V01F0024,Yes,Sowing,,,2018-08-08,2018-07-19,8.0,Bigha,1,Underground water,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V01F0025,Yes,Sowing,,,2018-08-11,2018-07-12,4.0,Bigha,1,Underground water,1,No,,,,,,,Yes,2,Bag,45 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,SARAS CHHE MAHITI SEVA
B01V01F0026,Yes,Sowing,,,2018-08-18,2018-07-09,3.5,Bigha,1,Underground water,1,No,,,,,,,Yes,75,Kilo,,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V01F0027,Yes,Sowing,,,2018-08-10,2018-07-11,1.0,Acre,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V01F0028,Yes,Sowing,,,2018-08-16,2018-07-02,4.0,Bigha,1,Underground water,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Useful,
B01V01F0029,Yes,Sowing,,,2018-08-07,2018-06-23,2.0,Bigha,1,Underground water,1,No,,,,,,,Yes,70,Kilo,,Yes,,,Yes,20,Kilo,,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,KOI SUDHAR KARVANI JARUR NATHI AEM KE CHE SARI CHE MAHITI
B01V01F0030,No,,,,2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01V01F0031,Yes,Sowing,,,2018-08-17,2018-06-18,5.0,Bigha,1,Underground water,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V01F0033,Yes,Sowing,,,2018-08-08,2018-07-19,3.0,Bigha,1,Dam,1,No,,,,,,,Yes,75,Kilo,,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V01F0034,Yes,Sowing,,,2018-08-16,2018-06-02,2.5,Bigha,1,Underground water,1,Yes,20,Kilo,,Yes,,,Yes,1,Kilo,,Yes,,,Yes,8,Kilo,,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,KRISHI TARANG NI MAHITI MA KIDHU AETLU JNAKHIYU CHHE
B01V02F0037,Yes,Sowing,,,2018-08-10,2018-07-26,20.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,6,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V02F0039,Yes,Sowing,,,2018-08-16,2018-07-02,25.0,Bigha,1,Underground water,1,Yes,4,Bag,50 Kilogram,Yes,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,KHUB J SARI CHE MAHITI
B01V02F0040,Yes,Sowing,,,2018-08-08,2018-07-09,7.5,Bigha,1,Dam,1,No,,,,,,,Yes,1,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Useful,
B01V02F0041,Yes,Sowing,,,2018-08-18,2018-07-19,9.0,Bigha,1,Rainfall,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V02F0042,Yes,Sowing,,,2018-08-10,2018-08-04,12.0,Bigha,1,Underground water,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,
B01V02F0044,Yes,Sowing,,,2018-08-09,2018-07-15,8.0,Bigha,1,Underground water,1,No,,,,,,,Yes,175,Kilo,,Yes,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,No,,
B01V02F0045,Yes,Sowing,,,2018-08-07,2018-06-08,25.0,Bigha,1,Underground water,1,No,,,,,,,Yes,1,Bag,50 Kilogram,Yes,25,Bigha,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,SEVA BAHU SARI CHE
B01V02F0046,Yes,Sowing,,,2018-08-07,2018-07-08,25.0,Bigha,1,Underground water,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V02F0047,Yes,Sowing,,,2018-08-09,2018-06-10,20.0,Bigha,1,Underground water,1,No,,,,,,,Yes,8,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,NA
B01V02F0050,Yes,Sowing,,,2018-08-10,2018-06-11,3.175,Acre,1,Underground water,1,Yes,1,Bag,50 Kilogram,Yes,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,NA
B01V02F0052,Yes,Sowing,,,2018-08-16,2018-07-17,18.0,Bigha,1,Dam,1,Yes,342,Kilo,,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Useful,
B01V02F0056,Yes,Sowing,,,2018-08-17,2018-07-03,30.0,Bigha,1,Underground water,1,No,,,,,,,Yes,6,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very little use,
B01V02F0057,Yes,No sowing,,,2018-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
B01V02F0060,Yes,Sowing,,,2018-08-08,2018-06-24,25.0,Bigha,1,Dam,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,NA
B01V02F0061,Yes,Sowing,,,2018-08-16,2018-07-17,7.0,Bigha,1,Underground water,1,Yes,1,Bag,50 Kilogram,Yes,,,Yes,1,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,NA
B01V02F0062,Yes,No sowing,,PANI NATHI MATE AEMNE JUVAR NU VAVETAR KARYU CHE KAPAS NU VAVETAR KARYU NATHI,2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,BAVU SARI CHE
B01V02F0063,Yes,Sowing,,,2018-08-17,2018-07-18,12.0,Bigha,1,Rainfall,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V02F0064,Yes,Sowing,,,2018-08-18,2018-07-24,15.0,Bigha,1,Underground water,1,No,,,,,,,Yes,10,Bag,50 Kilogram,No,15,Bigha,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0065,Yes,Sowing,,,2018-08-08,2018-06-24,5.0,Bigha,1,Underground water,1,No,,,,,,,Yes,40,Kilo,,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0066,Yes,Sowing,,,2018-08-18,2018-07-09,20.0,Bigha,1,Rainfall,1,Yes,2,Bag,50 Kilogram,Yes,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,Yes,1.0,Bag,50 Kilogram,Yes,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0067,Yes,No sowing,,RESPODENT KI DEATH HO GAI HAI,2018-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
B01V03F0068,Yes,Sowing,,,2018-08-10,2018-07-09,25.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,12,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0069,Yes,Sowing,,,2018-08-09,2018-07-10,2.0,Acre,0,,1,No,,,,,,,Yes,50,Kilo,,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,MAHITI BHU J SARAS CHHE PAN VARSHAAD VAGAR KM UPAGOY KARVI FAL SUKHAY CHHE VARSHAAD VAGAR.
B01V03F0070,Yes,Sowing,,,2018-08-17,2018-06-18,9.0,Bigha,1,Underground water,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Useful,
B01V03F0071,Yes,Sowing,,,2018-08-09,2018-07-15,2.0,Acre,0,,1,No,,,,,,,Yes,1.5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,No,,
B01V03F0072,Yes,Sowing,,,2018-08-09,2018-06-10,7.0,Acre,1,Underground water,1,No,,,,,,,Yes,10,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0073,Yes,Sowing,,,2018-08-18,2018-07-04,12.0,Bigha,1,Underground water,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,REPORTS VELA JOYIE CHE MAHITI SARI CHE PAN PAYA NA KHATAR NI MAHITI VADHARE JOYIE CHE
B01V03F0074,Yes,Sowing,,,2018-08-18,2018-07-04,7.0,Bigha,1,Underground water,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0076,Yes,Sowing,,,2018-08-16,2018-07-17,20.0,Bigha,1,Rainfall,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,NA
B01V03F0077,Yes,Sowing,,,2018-08-17,2018-06-28,10.0,Bigha,1,Underground water,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0079,Yes,Sowing,,,2018-08-09,2018-06-30,5.0,Acre,1,Underground water,1,No,,,,,,,Yes,5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0080,Yes,Sowing,,,2018-08-08,2018-07-09,2.0,Bigha,1,Underground water,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Useful,VARSHAAD THAY PACHI KHBAR PADE K SU KARVU KAPAS MA..
B01V03F0082,Yes,Sowing,,,2018-08-20,2018-06-21,5.0,Bigha,0,,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,Yes,50,Kilo,,Yes,,,,,,,,,,Yes,Useful,REPORT NATHI AVIYO...REPORT AAVE TO KHBAR PADE K KAYU KHATAR AAPVU..
B01V03F0083,Yes,Sowing,,,2018-08-09,2018-06-25,15.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,8,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,SEVA BAHU UPYOGI CHE
B01V03F0086,Yes,Sowing,,,2018-08-08,2018-06-09,7.0,Acre,1,Underground water,1,No,,,,,,,Yes,7,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,BAVU SARI CHE TAMARI MAHITI
B01V03F0087,Yes,Sowing,,,2018-08-08,2018-07-09,2.0,Acre,0,,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,NA
B01V03F0088,Yes,Sowing,,,2018-08-16,2018-07-02,5.0,Bigha,0,,1,No,,,,,,,Yes,1,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0089,Yes,Sowing,,,2018-08-17,2018-07-18,30.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,14,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0090,Yes,Sowing,,,2018-08-18,2018-06-19,18.0,Bigha,1,Rainfall,1,Yes,6,Bag,45 Kilogram,Yes,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0091,Yes,Sowing,,,2018-08-11,2018-06-12,3.0,Bigha,1,Dam,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0093,Yes,Sowing,,,2018-08-17,2018-06-01,2.0,Acre,1,Underground water,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,Yes,2,Bag,50 Kilogram,No,2,Acre,Yes,Somewhat useful,
B01V03F0094,Yes,No sowing,,VARSAD NATHI AETLE,2018-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V03F0095,Yes,Sowing,,,2018-08-08,2018-06-24,15.0,Bigha,1,Underground water,1,No,,,,,,,Yes,4,Bag,45 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,
B01V03F0096,Yes,Sowing,,,2018-08-07,2018-07-08,3.0,Acre,1,Underground water,1,No,,,,,,,Yes,135,Kilo,,Yes,,,Yes,15,Kilo,,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Useful,
B01V04F0097,Yes,Sowing,,,2018-08-18,2018-07-19,10.0,Bigha,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,
B01V04F0100,Yes,Sowing,,,2018-08-09,2018-06-25,1.0,Acre,1,Rainfall,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V04F0101,Yes,Sowing,,,2018-08-09,2018-07-10,4.0,Bigha,1,Underground water,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,
B01V04F0102,Yes,Sowing,,,2018-08-10,2018-07-26,2.5,Bigha,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,VARSHAD NATHI TO SU KARVU..KAI NATHI JANAVU..
B01V04F0103,Yes,Sowing,,,2018-08-09,2018-07-10,4.0,Acre,1,Underground water,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V04F0104,Yes,Sowing,,,2018-08-08,2018-06-24,6.0,Bigha,1,Underground water,1,No,,,,,,,Yes,150,Kilo,,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Not useful,NA
B01V04F0105,Yes,Sowing,,,2018-08-08,2018-07-09,1.0,Acre,1,Underground water,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V04F0108,Yes,Sowing,,,2018-08-07,2018-06-08,6.0,Acre,1,Underground water,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V04F0109,Yes,Sowing,,,2018-08-18,2018-07-04,7.5,Bigha,1,Underground water,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V04F0110,Yes,Sowing,,,2018-08-18,2018-07-14,5.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V04F0112,Yes,Sowing,,,2018-08-16,2018-07-02,6.0,Bigha,1,Underground water,1,Yes,1,Bag,50 Kilogram,Yes,,,Yes,1,Bag,50 Kilogram,Yes,,,Yes,1,Bag,25 Kilogram,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V04F0114,Yes,Sowing,,,2018-08-20,2018-06-06,5.0,Acre,0,,1,No,,,,,,,Yes,6,Bag,50 Kilogram,Yes,,,Yes,100,Kilo,,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V04F0117,Yes,Sowing,,,2018-08-07,2018-06-23,2.0,Acre,0,,1,Yes,50,Kilo,,Yes,,,Yes,100,Kilo,,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Not useful,50RUPIYA NU BALANCENATHI MALIYU ANE REPORT NATHI MALIYO AEMNE AETLE KRISHI TARANG MATHI CALL AAVE TO KRISHI TARANG NO NUMBER JOINE J CALL CUT KARI DEY CHHE.
B01V04F0118,Yes,Sowing,,,2018-08-18,2018-07-04,12.0,Acre,1,Underground water,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V04F0119,Yes,Sowing,,,2018-08-18,2018-06-09,8.75,Bigha,1,Underground water,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V04F0120,Yes,Sowing,,,2018-08-20,2018-07-01,2.0,Bigha,0,,1,No,,,,,,,Yes,1,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,MAHITI AAPE CHHE PAN KAI KHBR NATHI PADTI..
B01V04F0121,Yes,Sowing,,,2018-08-17,2018-06-18,12.5,Bigha,1,Surface Irrigation,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V04F0122,Yes,Sowing,,,2018-08-18,2018-07-04,2.0,Bigha,1,Underground water,1,No,,,,,,,Yes,1,Bag,50 Kilogram,Yes,,,Yes,1,Bag,50 Kilogram,Yes,,,Yes,10.0,Kilo,,Yes,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,BDHU SARU J CHHE..
B01V05F0123,Yes,Sowing,,,2018-08-17,2018-07-18,40.0,Bigha,1,Rainfall,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V05F0124,Yes,Sowing,,,2018-08-16,2018-06-02,5.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
