uid,reject_why,consent,consent_no,cultivated_cotton,reported_area_bigha,reported_cotton_area,irrigation_el,harvested_cotton,number_harvests,yield_kg,nonsurveyed_plots,harv_nsplot,harv_all_nsplot_kg,aplots_count,harv_aplot,harv_all_aplot_kg,harv_total_kg,selling_cotton,cotton_sales,cotton_sold_kg,unsold_cotton,storage_locations,storage_own_house,storage_own_godown,storage_neighbor_godown,storage_market_warehouse,storage_other,storage_dk,other_storage_location,planned_sale_time_1,planned_sale_time_2,planned_sale_time_3,planned_sale_time_4,cotton_stored_kg,knowledge_1,knowledge_2,knowledge_3,knowledge_4,knowledge_5,knowledge_6_1,knowledge_6_2,knowledge_6_3,knowledge_6_4,knowledge_6_5,knowledge_6_1_1,knowledge_6_2_1,knowledge_6_3_1,knowledge_6_4_1,knowledge_6_5_1,knowledge_7_1,knowledge_7_2,knowledge_7_3,knowledge_7_4,knowledge_7_5,knowledge_7_6,knowledge_7_7,knowledge_7_8,knowledge_7_9,knowledge_7_10,info_tv,info_mobile_phone,info_gov_extension,info_ngo,info_farmers,info_agro_shops,info_traders,info_radio,info_krushi_mela,info_newspaper,info_other,other_info_source,trust_tv,trust_mobile_phone,trust_gov_extension,trust_ngo,trust_farmers,trust_agro_shops,trust_traders,trust_radio,trust_krushi_mela,trust_newspaper,trust_other,primary_info_source,other_primary_source,phone_info_sources,phone_info_kt,phone_info_iffco_kisaan,phone_info_reliance_foundation,phone_info_local_kvk,phone_info_dk,phone_info_other,other_phone_info,call_frequency,days_called,phone_service_start,willingness_to_experiment,experimented_2018,experiments_2018,expriment_bore_well,expriment_new_fertilizer,experiment_fert_quantity,experiment_pesticide,experiment_machinery,experiment_intercropping,experiment_seed_variety,experiment_drip_irrigation,experiment_organic,experiment_land_prep,experiment_new_crop,experiment_fencing,experiment_other,experiment_dk,experiment_refuse,other_experiment,exp_reason,exp_reason_observation,exp_reason_gov,exp_reason_subsidy,exp_reason_rec,exp_reason_info_source,exp_reason_self,exp_reason_other,exp_reason_dk,exp_reason_refuse,other_exp_reason,starttime,total_sale_revenue,expected_storage_revenue,total_sold_stored,mapped_surveyed_plot,consent_mapping,cotton_partial,mapping_complete,form_merge
B01V01F0011,,Yes,,Yes,,8.0,No,Yes,2.0,800.0,2.0,Yes,600.0,,No,0.0,1400.0,Yes,1.0,1400.0,No,,,,,,,,,,,,,0.0,Nitrogen,Murate of Potash (MOP),20-20-20,Sulphur fertilizer,Sulphur fertilizer,Yes,Yes,Yes,No,Yes,at the time of sowing with Basal fertilizers,,at the time of sowing with Basal fertilizers,,at the time of sowing with Basal fertilizers,Yes,No,No,No,No,at the time of sowing with Basal fertilizers,,,,,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,,low,low,,,medium,medium,,very low,very high,medium,,,Jate,1,Yes,No,No,No,No,No,,,,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055.0,,1400.0,Yes,Yes,No,Yes,matched (3)
B01V01F0012,,Yes,,Yes,,7.5,Yes,Yes,1.0,380.0,1.0,Yes,1600.0,,No,0.0,1980.0,Yes,1.0,1980.0,No,,,,,,,,,,,,,0.0,,DAP,DAP,,,No,No,No,No,No,,,,,,No,No,No,No,No,,,,,,No,No,No,Yes,Yes,Yes,No,No,No,No,No,,,,,medium,very high,low,,,,,,mobile phone based information,,,,,,,,,,,,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,,1980.0,Yes,No,,No,matched (3)
B01V01F0013,,Yes,,Yes,5.0,5.0,Yes,Yes,5.0,2640.0,1.0,Yes,1000.0,,No,0.0,3640.0,Yes,1.0,3640.0,No,,,,,,,,,,,,,0.0,Nitrogen,,20-20-20,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,No,Yes,No,No,,,medium,,,very high,,,,medium,,,,Potano anubhav,4,No,No,No,Yes,No,No,,,.,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,,3640.0,Yes,Yes,No,Yes,matched (3)
B01V01F0015,,Yes,,Yes,8.0,8.0,Yes,Yes,3.0,2400.0,4.0,Yes,1900.0,,No,0.0,4300.0,Yes,2.0,4300.0,No,,,,,,,,,,,,,0.0,Potash,DAP,DAP,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,Yes,No,No,No,No,No,,,very high,,,very high,very high,,,,,,,Potano anubhav,1,Yes,No,No,No,No,No,,,.,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210.0,,4300.0,Yes,Yes,No,Yes,matched (3)
B01V01F0016,,Yes,,Yes,,12.5,No,Yes,2.0,2000.0,2.0,Yes,2100.0,,No,0.0,4100.0,Yes,2.0,4100.0,No,,,,,,,,,,,,,0.0,Nitrogen,,DAP,,,No,No,No,No,No,,,,,,No,No,No,No,No,,,,,,Yes,Yes,No,No,Yes,No,No,No,No,No,No,,medium,high,,,very high,,,,,,,other farmers,,.d,No,No,No,No,Yes,No,,Once a week,8,Since June /Sowing cotton 2018,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,,4100.0,Yes,No,,No,matched (3)
B01V01F0017,,Yes,,Yes,,10.0,Yes,Yes,3.0,1800.0,0.0,No,0.0,,No,0.0,1800.0,Yes,1.0,1800.0,No,,,,,,,,,,,,,0.0,Nitrogen,DAP,DAP,,,No,No,No,No,No,,,,,,No,No,No,No,No,,,,,,No,Yes,No,No,Yes,Yes,No,No,No,No,No,,,very high,,,high,medium,,,,,,mobile phone based information,,1,Yes,No,No,No,No,No,,,,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,,1800.0,Yes,Yes,No,Yes,matched (3)
B01V01F0018,,Yes,,Yes,7.0,7.0,Yes,Yes,2.0,1100.0,1.0,Yes,600.0,,No,0.0,1700.0,Yes,1.0,1700.0,No,,,,,,,,,,,,,0.0,,Murate of Potash (MOP),DAP,,Ammonium Sulphate/SSP/Gypsum/Chirodi,Yes,Yes,No,No,No,at the time of sowing with Basal fertilizers,at the time of sowing with Basal fertilizers,,,,No,No,No,No,No,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,,,medium,,,medium,,,,,,,,Amari jate,1,Yes,No,No,No,No,No,,,.,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090.0,,1700.0,Yes,Yes,No,Yes,matched (3)
B01V01F0019,,Yes,,Yes,,12.0,No,Yes,1.0,840.0,1.0,Yes,1280.0,,No,0.0,2120.0,Yes,1.0,2120.0,No,,,,,,,,,,,,,0.0,Nitrogen,Murate of Potash (MOP),20-20-20,,,No,No,Yes,No,No,,,,,,No,No,No,No,No,,,,,,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,medium,high,,,medium,high,,,medium,very high,,,Potana aadhare,.d,No,No,No,No,Yes,No,,Once a week,8,Before 2018,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,,2120.0,Yes,Yes,No,Yes,matched (3)
B01V01F0020,,Yes,,Yes,4.5,4.5,Yes,Yes,3.0,1300.0,1.0,Yes,900.0,,No,0.0,2200.0,Yes,1.0,2200.0,No,,,,,,,,,,,,,0.0,,,DAP,,Ammonium Sulphate/SSP/Gypsum/Chirodi,No,No,No,No,No,,,,,,No,No,No,No,No,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,,high,,,,,,,,,,,Pote,1,Yes,No,No,No,No,No,,,.,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090.0,,2200.0,Yes,Yes,No,Yes,matched (3)
B01V01F0021,,Yes,,Yes,11.0,11.0,Yes,Yes,4.0,4000.0,2.0,Yes,9000.0,,No,0.0,13000.0,Yes,2.0,13000.0,No,,,,,,,,,,,,,0.0,Nitrogen,,DAP,Ammonium Sulphate/SSP/Gypsum/Chirodi,Sulphur fertilizer,Yes,Yes,,,,30 days after sowing,30 days after sowing,,,,No,No,No,No,No,,,,,,No,Yes,No,No,Yes,Yes,No,No,No,No,No,,,very high,,,very high,medium,,,,,,,Potano anubhav,1,Yes,No,No,No,No,No,,,.,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300.0,,13000.0,Yes,Yes,No,Yes,matched (3)
B01V01F0023,,Yes,,No,,,,,,,1.0,No,0.0,,No,0.0,0.0,,,,,,,,,,,,,,,,,,,,DAP,,,No,No,No,No,No,,,,,,No,No,No,No,No,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,,medium,medium,,,,,,,,,,,Pote,1,Yes,No,No,No,No,No,,,,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,matched (3)
B01V01F0024,,Yes,,Yes,,10.0,Yes,Yes,3.0,660.0,3.0,Yes,2820.0,1.0,Yes,300.0,3780.0,Yes,1.0,3780.0,No,,,,,,,,,,,,,0.0,,DAP,20-20-20,,none,Yes,Yes,No,No,No,30 days after sowing,30 days after sowing,,,,No,No,No,No,No,,,,,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,,,very high,very high,,medium,medium,low,very low,,very high,,,Amri jate,.d,No,No,No,No,Yes,No,,More than once a week,8,Since March/Holi 2018,would try it immediately,Yes,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,5,No,No,No,No,Yes,No,No,No,No,,,1100.0,,3780.0,Yes,Yes,No,Yes,matched (3)
B01V01F0025,,Yes,,Yes,,5.0,Yes,Yes,3.0,800.0,0.0,No,0.0,,No,0.0,800.0,Yes,2.0,800.0,No,,,,,,,,,,,,,0.0,Nitrogen,,DAP,DAP,,Yes,No,Yes,No,No,at the time of sowing with Basal fertilizers,,at the time of sowing with Basal fertilizers,,,No,No,No,No,No,,,,,,Yes,Yes,No,No,Yes,No,No,No,No,No,No,,low,medium,,,low,,,,,,,,Jate,1,Yes,No,No,No,No,No,,,,,would try it immediately,Yes,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,5,No,No,No,No,Yes,No,No,No,No,,,2140.0,,800.0,Yes,Yes,No,Yes,matched (3)
B01V01F0026,,Yes,,Yes,5.0,5.0,Yes,Yes,2.0,500.0,1.0,Yes,1100.0,,No,0.0,1600.0,Yes,1.0,1600.0,No,,,,,,,,,,,,,0.0,,,DAP,,,Yes,Yes,Yes,Yes,No,,,,,,No,No,No,No,No,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,,very high,very high,,,,,,,,,,,Pite,1,Yes,No,No,No,No,No,,,.,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,1600.0,Yes,Yes,No,Yes,matched (3)
B01V01F0027,,Yes,,Yes,2.5,2.5,Yes,Yes,3.0,700.0,0.0,No,0.0,,No,0.0,700.0,Yes,2.0,700.0,No,,,,,,,,,,,,,0.0,Nitrogen,,20-20-20,,,Yes,Yes,,,,at the time of sowing with Basal fertilizers,at the time of sowing with Basal fertilizers,,,,,,,,,,,,,,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,,very high,medium,,,very high,very high,,,,,,,Potano anubhav,.d,No,No,No,No,Yes,No,,,.d,Before 2018,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210.0,,700.0,Yes,Yes,No,Yes,matched (3)
B01V01F0028,,Yes,,Yes,,4.0,Yes,Yes,3.0,360.0,0.0,No,0.0,,No,0.0,360.0,Yes,1.0,360.0,No,,,,,,,,,,,,,0.0,Nitrogen,Murate of Potash (MOP),DAP,,,Yes,Yes,No,No,No,30 days after sowing,30 days after sowing,,,,No,No,No,No,No,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,,,high,,,very high,,,,,,,other farmers,,.d,No,No,No,No,Yes,No,,Once a week,8,Since June /Sowing cotton 2018,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,,360.0,Yes,Yes,No,Yes,matched (3)
B01V01F0029,,Yes,,Yes,15.0,15.0,Yes,Yes,2.0,1800.0,3.0,Yes,280.0,,No,0.0,2080.0,Yes,1.0,2080.0,No,,,,,,,,,,,,,0.0,Nitrogen,NPK grade fertilizer,DAP,Sulphur fertilizer,Sulphur fertilizer,Yes,No,No,No,No,at the time of sowing with Basal fertilizers,,,,,No,No,No,No,No,,,,,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,,low,very low,high,,very high,,,low,medium,high,,,Amari jate,1 3,Yes,No,Yes,No,No,No,,,.,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,,2080.0,Yes,Yes,No,Yes,matched (3)
B01V01F0030,,Yes,,Yes,2.0,2.0,Yes,Yes,4.0,900.0,2.0,Yes,800.0,,No,0.0,1700.0,Yes,1.0,1700.0,No,,,,,,,,,,,,,0.0,Nitrogen,Murate of Potash (MOP),DAP,Ammonium Sulphate/SSP/Gypsum/Chirodi,Ammonium Sulphate/SSP/Gypsum/Chirodi,No,No,No,No,No,,,,,,No,No,No,No,No,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,,,medium,,,high,,,,,,,,Amari jate,1,Yes,No,No,No,No,No,,,.,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,,1700.0,Yes,Yes,No,Yes,matched (3)
B01V01F0031,,Yes,,Yes,10.0,10.0,Yes,Yes,2.0,800.0,2.0,Yes,4600.0,,No,0.0,5400.0,Yes,2.0,5400.0,No,,,,,,,,,,,,,0.0,Nitrogen,,DAP,,Ammonium Sulphate/SSP/Gypsum/Chirodi,Yes,Yes,No,No,No,,,,,,No,No,No,No,No,,,,,,No,Yes,No,No,Yes,Yes,No,No,No,No,No,,,low,,,very high,very high,,,,,,,Potano anubhav,1,Yes,No,No,No,No,No,,,.,,would try it after observing others and/or learning from other sources,Yes,9,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,1 6,Yes,No,No,No,No,Yes,No,No,No,,,2170.0,,5400.0,Yes,Yes,No,Yes,matched (3)
B01V01F0033,,Yes,,Yes,,5.5,No,No,,,5.0,Yes,900.0,,No,0.0,900.0,Yes,1.0,900.0,No,,,,,,,,,,,,,0.0,,,DAP,,,No,No,No,No,No,,,,,,No,No,No,No,No,,,,,,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,,low,low,medium,,medium,,,,,,,,Pote,1,Yes,No,No,No,No,No,,,,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,,900.0,Yes,Yes,No,Yes,matched (3)
B01V01F0034,,Yes,,Yes,2.5,2.5,Yes,Yes,4.0,1060.0,2.0,Yes,1500.0,,No,0.0,2560.0,Yes,3.0,2560.0,No,,,,,,,,,,,,,0.0,,DAP,DAP,Ammonium Sulphate/SSP/Gypsum/Chirodi,Ammonium Sulphate/SSP/Gypsum/Chirodi,Yes,Yes,Yes,No,No,30 days after sowing,at the time of sowing with Basal fertilizers,at the time of sowing with Basal fertilizers,,,No,No,No,No,No,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,,medium,medium,,,,,,,,,,,Amari jate,1,Yes,No,No,No,No,No,,,.,,would try it immediately,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2960.0,,2560.0,Yes,Yes,No,Yes,matched (3)
B01V02F0039,,Yes,,Yes,28.0,28.0,No,Yes,2.0,540.0,10.0,Yes,4860.0,,No,0.0,5400.0,Yes,1.0,5400.0,No,,,,,,,,,,,,,0.0,,Murate of Potash (MOP),DAP,,,No,No,Yes,No,No,,,,,,No,No,No,No,No,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,high,very high,medium,,,,,,,,,mobile phone based information,,1,Yes,No,No,No,No,No,,,.,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,,5400.0,Yes,Yes,No,Yes,matched (3)
B01V02F0040,,Yes,,Yes,10.0,7.5,Yes,Yes,3.0,960.0,1.0,Yes,360.0,,No,0.0,1320.0,Yes,2.0,1320.0,No,,,,,,,,,,,,,0.0,,,DAP,,,Yes,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,Yes,No,No,No,No,No,,,low,,,high,high,,,,,,,Potano anubhav,1,Yes,No,No,No,No,No,,,.,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.0,,1320.0,Yes,Yes,No,Yes,matched (3)
B01V02F0041,,Yes,,Yes,,9.0,Yes,Yes,2.0,800.0,1.0,Yes,700.0,,No,0.0,1500.0,Yes,1.0,1500.0,No,,,,,,,,,,,,,0.0,Nitrogen,DAP,DAP,Sulphur fertilizer,,No,No,No,No,No,,,,,,No,No,No,No,No,,,,,,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,,medium,high,,,very high,low,,,,,,other farmers,,.d,No,No,No,No,Yes,No,,Once a week,8,Since June /Sowing cotton 2018,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,,1500.0,Yes,Yes,No,Yes,matched (3)
B01V02F0042,,Yes,,Yes,,10.0,No,No,,,1.0,No,0.0,,No,0.0,0.0,,,,,,,,,,,,,,,,,,,,DAP,,,No,No,No,No,No,,,,,,No,No,No,No,No,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,,low,,,,,,,,,,,Amari jate,1,Yes,No,No,No,No,No,,,,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,No,matched (3)
B01V02F0044,,Yes,,Yes,7.5,7.5,Yes,Yes,3.0,2900.0,0.0,No,0.0,2.0,Yes,1400.0,4300.0,Yes,2.0,4300.0,No,,,,,,,,,,,,,0.0,,,DAP,,,Yes,Yes,No,No,No,,,,,,No,No,No,No,No,,,,,,No,Yes,No,No,Yes,Yes,No,No,No,No,No,,,very high,,,very high,medium,,,,,,mobile phone based information,,1,Yes,No,No,No,No,No,,,.,,would try it immediately,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175.0,,4300.0,Yes,Yes,No,Yes,matched (3)
B01V02F0045,,Yes,,Yes,25.0,15.0,Yes,Yes,2.0,940.0,2.0,No,0.0,,No,0.0,940.0,Yes,2.0,940.0,No,,,,,,,,,,,,,0.0,,,DAP,,,Yes,Yes,Yes,Yes,No,,,at the time of sowing with Basal fertilizers,,,No,No,No,No,No,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,low,,,,,,,,Amari jate,,,,,,,,,,.,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.0,,940.0,Yes,No,,No,matched (3)
